ref	formula	pycel	hyperformula	ironcalc	formulas
ACOS/acos-at-0	=ACOS(0)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963268},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.570796327},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOS/acos-at-1	=ACOS(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOS/acos-negative	=ACOS(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.1415926536},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.141592654},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":3.141592653589793},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOS/acos-out-of-domain	=ACOS(2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NUM!"},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NUM!"},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NUM!"},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOSH/acosh-at-1	=ACOSH(1)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOSH/acosh-greater-than-1	=ACOSH(2)	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.3169578969248166},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.3169578969},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.316957897},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.3169578969248166},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOT/acot-at-0	=ACOT(0)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963268},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.570796327},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":1.5707963267948966},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOT/acot-at-1	=ACOT(1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981634},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.785398163},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.7853981633974483},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOT/acot-negative	=ACOT(-1)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":-0.7853981634},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":2.35619449},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":2.356194490192345},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
ACOTH/acoth-greater-than-1	=ACOTH(2)	{"kind":"value","grid":[[{"primitive":{"kind":"error","sentinel":"#NAME?"},"engine":{"platform":"pycel"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.54930614433},"engine":{"platform":"hyperformula"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.549306144},"engine":{"platform":"ironcalc"}}]],"extent":{"rows":1,"cols":1}}	{"kind":"value","grid":[[{"primitive":{"kind":"number","value":0.5493061443340549},"engine":{"platform":"formulas"}}]],"extent":{"rows":1,"cols":1}}
